Action	Animate	Bigram_freq	Geraeusch	Geraeusch_SD	Handlung	Handlung_SD	Lemma_freq	Letters	Living	Natural	Neighbors	Sound	Trigram_freq	Vertrautheit	Vertrautheit_SD	Visuell	Visuell_SD	Words	n_Syllables
1.0	0.0	430901.48	3.87	1.32	4.7	1.22	0.17	7.0	0.0	0.0	3.42	1.0	232758.64	5.71	0.64	3.52	1.6	Toaster	2.0	
1.0	0.0	159714.52	1.94	1.29	4.69	1.35	15.42	6.0	0.0	0.0	8.56	0.0	40185.79	5.88	0.5	3.25	1.77	Zettel	2.0	
1.0	0.0	388353.13	5.5	0.82	4.63	1.41	0.38	11.0	0.0	0.0	1.28	1.0	187924.59	4.17	1.82	3.0	1.67	Kastagnette	4.0	
1.0	0.0	262462.49	5.13	1.45	4.63	1.54	9.47	5.0	0.0	0.0	20.98	1.0	169065.2	4.0	1.59	2.5	1.63	Laute	2.0	
1.0	0.0	150203.33	1.44	0.78	4.61	1.65	1.64	5.0	0.0	1.0	6.85	0.0	27410.5	5.94	0.24	4.0	1.81	Nudel	2.0	
1.0	0.0	117463.04	1.57	0.66	4.52	1.47	41.15	4.0	0.0	0.0	20.55	0.0	105843.57	5.95	0.22	4.0	1.52	Brot	1.0	
1.0	0.0	569395.64	1.88	1.02	4.5	1.59	3.84	8.0	0.0	0.0	3.0	0.0	391916.72	5.88	0.34	4.13	1.75	Brötchen	2.0	
1.0	0.0	208476.17	1.94	1.06	4.47	1.55	1.82	5.0	0.0	0.0	7.28	0.0	106974.74	5.38	0.89	3.94	1.44	Spind	1.0	
1.0	0.0	69677.19	5.0	na	4.44	na	0.3	5.0	0.0	0.0	6.42	1.0	26362.89	4.0	1.73	3.88	na	Banjo	2.0	
1.0	0.0	432916.17	1.83	0.83	4.35	1.23	6.81	10.0	0.0	0.0	3.0	0.0	182162.53	5.9	0.3	4.0	1.73	Schokolade	4.0	
1.0	0.0	176532.84	1.17	0.49	4.3	1.49	7.87	5.0	0.0	0.0	8.99	0.0	116975.5	5.76	0.54	3.52	2.02	Wurst	1.0	
1.0	0.0	548912.4	5.0	1.75	4.25	1.65	0.87	10.0	0.0	0.0	2.14	1.0	236406.95	5.38	1.02	2.5	1.55	Verstärker	3.0	
1.0	0.0	114380.88	2.0	0.97	4.17	1.54	0.49	7.0	0.0	0.0	2.14	0.0	55021.59	5.61	0.7	3.67	2.0	Stöpsel	2.0	
1.0	0.0	100364.18	1.13	0.46	4.04	1.33	0.81	6.0	0.0	0.0	5.57	0.0	38296.26	5.81	0.4	4.0	1.58	Salami	3.0	
1.0	0.0	489361.98	1.11	0.32	4.0	1.5	21.23	5.0	0.0	0.0	15.41	0.0	364229.28	5.67	0.84	3.72	1.84	Faden	2.0	
1.0	0.0	45791.85	1.27	na	4.0	na	13.52	4.0	0.0	0.0	15.41	0.0	20706.61	6.0	0.0	4.13	na	Korb	1.0	
1.0	0.0	158478.81	1.31	0.48	4.0	1.59	5.65	5.0	0.0	0.0	9.85	0.0	152496.51	5.88	0.34	3.06	1.57	Mappe	2.0	
1.0	0.0	470166.51	1.5	0.79	4.0	1.41	6.03	9.0	0.0	0.0	3.85	0.0	107901.96	5.83	0.51	3.72	1.78	Schachtel	2.0	
1.0	0.0	303341.91	1.0	na	3.93	na	9.69	6.0	0.0	0.0	3.85	0.0	160132.59	5.96	0.2	3.47	na	Schnur	1.0	
1.0	0.0	128228.67	1.07	na	3.93	na	0.56	8.0	0.0	0.0	0.86	0.0	15414.08	5.63	0.71	4.53	na	Teleskop	3.0	
1.0	0.0	251519.35	1.06	na	3.88	na	4.58	5.0	0.0	0.0	20.55	0.0	170499.67	5.88	0.34	3.81	na	Kanne	2.0	
1.0	0.0	304238.89	1.5	0.73	3.88	1.67	18.86	5.0	0.0	0.0	16.27	0.0	194064.49	5.63	1.02	3.81	1.87	Kiste	2.0	
1.0	0.0	225791.68	1.22	0.67	3.87	1.32	16.69	6.0	0.0	0.0	8.13	0.0	84690.04	5.81	0.4	4.52	1.66	Schild	1.0	
1.0	0.0	317888.02	1.07	na	3.87	na	2.02	6.0	0.0	0.0	9.85	0.0	208521.35	5.88	0.34	4.0	na	Hocker	2.0	
1.0	0.0	235205.17	1.13	na	3.87	na	6.07	5.0	0.0	0.0	14.98	0.0	155369.19	5.63	0.71	3.27	na	Trage	2.0	
1.0	0.0	188638.52	5.73	na	3.87	na	2.95	5.0	0.0	0.0	11.13	1.0	145431.29	4.57	1.8	3.67	na	Pauke	2.0	
1.0	0.0	631939.42	1.09	0.29	3.83	1.4	3.08	11.0	0.0	0.0	1.28	0.0	232306.9	5.43	0.87	4.14	1.71	Thermometer	4.0	
1.0	0.0	166429.48	1.0	na	3.81	na	14.01	5.0	0.0	0.0	5.57	0.0	150448.01	5.96	0.2	4.38	na	Mütze	2.0	
1.0	0.0	369485.69	1.44	0.81	3.81	1.6	18.47	6.0	0.0	0.0	17.12	0.0	185549.66	5.56	0.89	3.38	2.03	Schale	2.0	
1.0	0.0	136879.84	5.25	na	3.81	na	1.02	4.0	0.0	0.0	5.14	1.0	135401.12	4.81	1.57	3.38	na	Oboe	3.0	
1.0	0.0	116571.31	5.56	na	3.81	na	10.14	5.0	0.0	0.0	7.28	1.0	29411.02	5.05	1.24	3.56	na	Orgel	2.0	
1.0	0.0	192287.37	1.38	0.89	3.75	1.18	0.51	6.0	0.0	0.0	3.85	0.0	47816.16	5.38	1.02	3.56	1.59	Kordel	2.0	
1.0	0.0	323763.27	5.88	na	3.25	na	2.33	6.0	0.0	0.0	14.98	1.0	215160.41	6.0	0.0	3.44	na	Wecker	2.0	
0.0	0.0	259782.86	1.11	0.32	2.33	1.19	2.08	5.0	1.0	1.0	5.57	0.0	189657.25	5.56	0.86	5.11	0.96	Lilie	2.0	
0.0	0.0	226234.72	1.35	0.57	2.13	1.42	58.21	4.0	0.0	1.0	20.98	0.0	57392.29	5.81	0.51	5.05	1.16	Berg	1.0	
0.0	0.0	255129.06	1.06	0.24	2.12	0.93	0.94	8.0	1.0	1.0	1.71	0.0	157579.21	5.39	1.14	4.88	1.27	Narzisse	3.0	
0.0	0.0	231443.76	1.17	0.49	2.0	1.13	28.59	5.0	1.0	1.0	6.42	0.0	172719.07	5.62	0.59	4.19	1.36	Blüte	2.0	
0.0	0.0	147550.45	1.0	na	2.0	na	1.58	5.0	1.0	1.0	3.42	0.0	140155.34	5.92	0.28	5.27	na	Tulpe	2.0	
0.0	0.0	180774.21	2.0	1.15	1.5	0.73	3.7	5.0	1.0	1.0	12.41	0.0	154675.62	5.19	1.22	4.56	1.46	Birke	2.0	
0.0	1.0	342515.81	1.17	0.39	2.35	1.27	4.87	7.0	1.0	1.0	13.27	0.0	71649.99	5.24	0.94	3.29	1.52	Hering 	2.0	
0.0	1.0	284037.33	1.31	0.6	2.19	0.98	2.34	7.0	1.0	1.0	3.0	0.0	167849.41	4.44	1.67	3.31	1.45	Forelle	3.0	
0.0	1.0	261616.8	1.31	0.6	1.81	0.91	0.84	6.0	1.0	1.0	15.41	0.0	138155.71	4.0	1.63	3.38	1.45	Barsch	1.0	
0.0	1.0	638648.21	1.0	na	1.64	na	7.35	13.0	1.0	1.0	2.57	0.0	125672.35	6.0	0.0	5.36	na	Schmetterling	3.0	
0.0	1.0	143680.2	1.25	0.45	1.63	0.72	0.55	8.0	1.0	1.0	0.43	0.0	37805.52	3.88	1.2	2.63	1.63	Kabeljau	3.0	
0.0	1.0	120491.04	1.27	0.59	1.6	0.63	3.11	4.0	1.0	1.0	22.26	0.0	91034.56	4.0	1.71	3.67	1.76	Wels	1.0	
0.0	1.0	758597.13	1.83	0.83	1.3	0.56	2.48	12.0	1.0	1.0	1.71	0.0	437907.38	5.57	0.98	5.24	1.3	Eichhörnchen	3.0	
0.0	1.0	50888.87	2.0	0.91	1.06	0.24	0.6	5.0	1.0	1.0	5.14	0.0	17753.06	5.5	0.92	5.67	0.77	Zebra	2.0	
0.0	1.0	95919.47	2.0	1.03	1.0	0.0	3.06	8.0	1.0	1.0	1.71	0.0	31412.09	5.44	0.96	4.75	1.39	Krokodil	3.0	
1.0	0.0	196288.82	2.0	0.91	5.67	0.59	219.82	4.0	0.0	0.0	28.68	0.0	104898.41	6.0	0.0	4.89	1.64	Buch	1.0	
1.0	0.0	80289.35	2.0	0.97	5.56	0.63	15.71	4.0	0.0	0.0	29.54	0.0	41771.6	5.56	1.09	4.81	1.56	Ball	1.0	
1.0	0.0	665407.68	1.93	na	5.13	na	0.37	12.0	0.0	0.0	0.86	0.0	232143.26	5.79	0.59	3.87	na	Korkenzieher	4.0	
1.0	0.0	508107.86	2.0	1.1	5.13	0.96	0.39	9.0	0.0	0.0	1.71	0.0	246458.6	5.56	0.89	4.0	1.93	Schnuller	2.0	
1.0	0.0	64143.6	1.57	0.73	4.96	0.98	4.82	8.0	0.0	0.0	3.42	0.0	20160.1	5.9	0.3	4.57	1.25	Rucksack	2.0	
1.0	0.0	388841.13	2.17	1.23	4.96	0.98	5.74	5.0	0.0	0.0	16.27	0.0	244645.6	5.29	1.15	3.81	1.63	Ruder	2.0	
1.0	0.0	888030.73	1.47	na	4.93	na	0.76	15.0	0.0	0.0	0.86	0.0	265917.6	5.83	0.38	3.93	na	Schraubenzieher	4.0	
1.0	0.0	191955.66	2.22	1.13	4.91	1.2	15.19	7.0	0.0	0.0	5.57	0.0	57254.53	5.9	0.3	4.81	1.29	Stiefel	2.0	
1.0	0.0	384689.22	5.18	1.01	4.8	1.42	0.14	7.0	0.0	0.0	8.56	1.0	223273.39	3.94	1.7	3.13	1.15	Ratsche	2.0	
1.0	0.0	218478.06	2.22	1.17	4.7	1.29	8.15	6.0	0.0	0.0	7.71	0.0	74633.97	5.86	0.36	4.57	1.29	Schirm	1.0	
1.0	0.0	311172.68	5.56	na	4.56	na	3.35	7.0	0.0	0.0	5.14	1.0	180187.9	5.14	1.28	4.38	na	Violine	4.0	
1.0	0.0	247580.4	1.44	0.73	4.31	1.58	139.33	5.0	0.0	0.0	19.69	0.0	133941.66	5.81	0.54	4.63	1.45	Tisch	1.0	
1.0	0.0	73045.8	1.0	0.0	4.17	1.3	269.28	4.0	0.0	0.0	18.84	0.0	60825.48	5.9	0.3	5.05	1.5	Bild	1.0	
1.0	0.0	420516.68	5.13	na	4.13	na	0.75	9.0	0.0	0.0	1.71	1.0	200614.04	3.71	1.76	3.69	na	Mandoline	4.0	
1.0	0.0	316925.22	1.89	1.13	3.94	1.55	0.2	8.0	0.0	1.0	0.86	0.0	202233.01	5.67	0.77	4.56	1.2	Pistazie	3.0	
1.0	0.0	281914.14	1.78	1.0	3.89	1.6	5.23	6.0	0.0	0.0	10.27	0.0	228375.33	5.89	0.32	3.83	1.76	Karton	2.0	
1.0	0.0	53950.88	4.25	1.73	3.88	1.67	2.23	7.0	0.0	0.0	0.86	1.0	16942.98	4.81	1.52	2.75	1.57	Torpedo	3.0	
1.0	0.0	640493.18	1.09	0.29	3.87	1.79	4.09	8.0	0.0	0.0	5.14	0.0	375553.74	5.86	0.36	3.57	1.78	Schinken	2.0	
1.0	0.0	449374.45	1.0	na	3.87	na	0.2	9.0	0.0	1.0	0.43	0.0	171199.68	5.75	0.74	4.53	na	Blaubeere	3.0	
1.0	0.0	230617.08	1.91	1.23	3.86	1.52	3.49	4.0	0.0	1.0	22.69	0.0	166418.43	5.05	1.4	3.38	1.5	Rute	2.0	
1.0	0.0	270432.1	4.17	1.54	3.83	1.82	5.96	4.0	0.0	0.0	34.67	1.0	183842.03	4.94	1.35	3.17	1.54	Mine	2.0	
1.0	0.0	202977.54	1.53	na	3.8	na	0.76	9.0	0.0	1.0	0.0	0.0	86615.31	5.92	0.28	4.53	na	Haselnuss	3.0	
1.0	0.0	545965.84	1.07	na	3.73	na	0.29	10.0	0.0	1.0	2.57	0.0	188655.37	5.54	0.83	4.2	na	Clementine	4.0	
1.0	0.0	256943.26	1.0	na	3.73	na	6.06	6.0	0.0	1.0	1.71	0.0	167132.24	6.0	0.0	4.53	na	Tomate	3.0	
1.0	0.0	227524.15	1.0	na	3.67	na	1.55	8.0	0.0	1.0	0.86	0.0	159499.98	5.96	0.2	4.27	na	Aprikose	4.0	
1.0	0.0	420751.36	1.0	na	3.67	na	0.87	9.0	0.0	1.0	2.14	0.0	169193.11	5.79	0.51	4.6	na	Brombeere	3.0	
1.0	0.0	164951.16	1.0	na	3.67	na	2.66	7.0	0.0	1.0	5.14	0.0	54573.32	5.96	0.2	3.93	na	Spargel	2.0	
1.0	0.0	262736.95	1.07	na	3.67	na	4.28	7.0	0.0	1.0	2.57	0.0	154676.11	6.0	0.0	4.8	na	Zitrone	3.0	
1.0	0.0	384563.02	1.0	na	3.6	na	3.42	7.0	0.0	1.0	5.99	0.0	226296.76	6.0	0.0	4.8	na	Kirsche	2.0	
1.0	0.0	280852.41	1.22	0.43	3.56	1.25	0.03	7.0	0.0	1.0	1.71	0.0	173859.26	5.78	0.73	4.22	1.66	Limette	3.0	
1.0	0.0	214590.14	1.13	na	3.53	na	5.4	5.0	0.0	1.0	10.27	0.0	164084.08	5.96	0.2	4.6	na	Birne	2.0	
1.0	0.0	527564.87	1.0	na	3.53	na	0.73	13.0	0.0	1.0	1.28	0.0	168080.73	5.79	0.51	4.33	na	Johannisbeere	5.0	
1.0	0.0	418352.05	1.17	0.38	3.5	1.29	2.83	8.0	0.0	1.0	1.28	0.0	168828.31	6.0	0.0	4.83	1.38	Erdbeere	3.0	
1.0	0.0	147633.56	1.0	na	3.47	na	0.29	9.0	0.0	1.0	0.86	0.0	59293.19	5.88	0.45	4.13	na	Basilikum	4.0	
1.0	0.0	232636.15	1.0	na	3.44	na	12.09	6.0	0.0	0.0	9.42	0.0	168235.15	6.0	0.0	5.44	na	Brille	2.0	
1.0	0.0	285370.26	1.0	na	3.4	na	1.12	10.0	0.0	1.0	0.86	0.0	214120.71	5.92	0.41	4.6	na	Champignon	3.0	
0.0	0.0	81786.25	1.17	0.49	2.35	1.19	19.73	5.0	0.0	1.0	11.13	0.0	40913.84	5.48	1.03	3.24	2.0	Staub	1.0	
0.0	0.0	84568.67	1.07	na	2.33	na	66.46	4.0	0.0	1.0	17.12	0.0	54305.14	6.0	0.0	3.4	na	Feld	1.0	
0.0	0.0	401031.31	1.26	0.54	2.26	1.14	22.56	5.0	0.0	1.0	22.69	0.0	253464.48	5.62	0.59	5.14	1.15	Feder	2.0	
0.0	0.0	286602.13	1.83	1.23	2.26	1.25	7.15	7.0	1.0	1.0	8.13	0.0	102666.84	5.76	0.62	5.1	1.22	Muschel	2.0	
0.0	0.0	81000.51	1.17	0.65	2.13	1.18	11.22	5.0	0.0	1.0	8.13	0.0	31943.66	5.62	0.74	3.38	1.77	Dreck	1.0	
0.0	0.0	236044.01	1.83	0.72	2.04	1.19	5.43	7.0	0.0	1.0	4.71	0.0	79554.57	5.52	0.68	3.86	1.49	Schlamm	1.0	
0.0	0.0	123415.25	1.83	0.98	2.0	1.04	18.13	4.0	1.0	1.0	24.83	0.0	96256.06	5.81	0.4	4.48	1.44	Gras	1.0	
0.0	0.0	150588.74	2.14	1.07	1.93	1.03	10.99	3.0	1.0	1.0	33.82	0.0	117949.57	5.67	0.72	3.85	1.59	Ast	1.0	
0.0	0.0	240816.1	2.22	1.13	1.7	0.97	16.69	5.0	1.0	1.0	21.4	0.0	133773.25	5.71	0.46	4.29	1.42	Busch	1.0	
0.0	0.0	110013.98	1.0	na	1.33	na	0.63	6.0	1.0	1.0	0.86	0.0	86820.52	5.25	1.11	4.33	na	Krokus	2.0	
0.0	1.0	251349.55	1.61	0.89	2.48	1.34	42.66	6.0	1.0	1.0	20.98	0.0	137664.73	5.71	0.64	4.71	1.23	Fisch 	1.0	
0.0	1.0	683408.87	4.4	na	2.4	na	0.34	15.0	1.0	1.0	0.43	1.0	236083.39	5.75	0.61	4.4	na	Klapperschlange	4.0	
0.0	1.0	142567.8	3.75	1.24	2.19	0.91	9.64	4.0	1.0	1.0	28.68	1.0	86621.29	5.56	0.81	4.06	1.57	Gans	1.0	
0.0	1.0	402387.72	1.47	na	1.93	na	2.84	11.0	1.0	1.0	0.86	0.0	199007.02	6.0	0.0	4.87	na	Schildkröte	3.0	
0.0	1.0	413564.87	2.07	na	1.93	na	3.47	6.0	1.0	1.0	9.85	0.0	245440.96	5.96	0.2	4.8	na	Schwan	1.0	
0.0	1.0	63363.14	1.13	na	1.73	na	1.23	5.0	1.0	1.0	7.71	0.0	21741.7	4.88	1.48	5.0	na	Torso	2.0	
0.0	1.0	610640.13	1.0	na	1.67	na	1.95	11.0	1.0	1.0	1.71	0.0	168894.16	5.79	0.51	4.73	na	Tintenfisch	3.0	
0.0	1.0	213576.96	3.73	na	1.67	na	0.89	7.0	1.0	1.0	2.57	1.0	131093.85	5.83	0.38	4.8	na	Seehund	2.0	
0.0	1.0	59748.24	1.17	0.38	1.5	0.71	3.2	3.0	1.0	1.0	30.39	0.0	36024.28	5.39	1.04	4.72	1.45	Aal	1.0	
0.0	1.0	69060.71	1.89	0.76	1.39	0.61	3.01	3.0	1.0	1.0	35.53	0.0	53617.34	5.78	0.55	5.28	1.02	Reh	1.0	
0.0	1.0	439012.54	1.3	0.47	1.35	0.78	0.47	8.0	1.0	1.0	2.14	0.0	216386.33	5.29	1.38	4.43	1.69	Faultier	2.0	
0.0	1.0	23690.24	1.67	0.97	1.33	0.59	2.02	3.0	1.0	1.0	43.24	0.0	22461.57	5.72	0.83	5.5	0.99	Hai	1.0	
0.0	1.0	131401.15	1.8	0.77	1.31	0.6	0.06	6.0	1.0	1.0	1.28	0.0	104538.77	3.44	1.38	4.44	1.5	Wombat	2.0	
0.0	1.0	31385.85	1.59	0.85	1.27	0.46	0.09	3.0	1.0	1.0	11.56	0.0	27700.78	3.9	1.58	3.85	1.9	Emu	2.0	
0.0	1.0	33885.69	1.77	1.02	1.19	0.4	0.15	3.0	1.0	1.0	9.42	0.0	27729.43	3.86	1.56	3.89	1.91	Gnu	1.0	
1.0	0.0	348683.83	3.9	1.22	5.33	0.84	1.11	6.0	0.0	0.0	3.85	1.0	212352.69	4.71	1.71	3.78	1.31	Mörser	2.0	
1.0	0.0	212016.37	5.63	0.89	5.31	0.95	0.71	13.0	0.0	0.0	0.86	1.0	20598.15	5.5	1.1	3.88	1.5	Ziehharmonika	5.0	
1.0	0.0	239536.97	1.94	1.3	5.22	0.88	3.8	8.0	0.0	0.0	1.28	0.0	161651.13	5.89	0.32	3.83	1.92	Matratze	3.0	
1.0	0.0	370686.76	4.63	1.5	5.19	1.17	1.27	6.0	0.0	0.0	8.13	1.0	216863.97	5.38	1.31	4.69	1.3	Bagger	2.0	
1.0	0.0	339339.52	3.81	1.42	5.13	1.31	6.89	7.0	0.0	0.0	8.13	1.0	217860.65	5.63	0.72	3.63	1.45	Drucker	2.0	
1.0	0.0	584715.23	5.44	0.89	5.06	1.18	2.95	9.0	0.0	0.0	1.71	1.0	229092.11	6.0	0.0	5.06	1.29	Fernseher	3.0	
1.0	0.0	767498.52	3.75	na	5.0	na	6.79	15.0	0.0	0.0	0.86	1.0	268219.37	5.67	0.76	3.81	na	Schreibmaschine	4.0	
1.0	0.0	58656.22	3.53	na	4.93	na	0.02	7.0	0.0	0.0	0.0	1.0	19134.81	5.83	0.48	3.6	na	Gameboy	2.0	
1.0	0.0	401293.41	2.21	na	4.8	na	0.24	10.0	0.0	0.0	0.86	0.0	196776.89	5.88	0.34	4.33	na	Rollschuhe	3.0	
1.0	0.0	135996.17	3.94	1.29	4.75	1.39	173.02	3.0	0.0	0.0	17.12	1.0	121644.18	6.0	0.0	4.13	1.71	Uhr	1.0	
1.0	0.0	44162.69	1.5	0.71	4.72	1.13	10.86	4.0	0.0	0.0	12.41	0.0	36295.53	6.0	0.0	4.22	1.59	Sofa	2.0	
1.0	0.0	230586.05	1.75	0.86	4.44	1.75	3.42	7.0	0.0	0.0	3.42	0.0	133571.06	5.56	1.03	4.31	1.58	Monitor	3.0	
1.0	0.0	250328.9	5.38	na	4.44	na	1.36	13.0	0.0	0.0	0.86	1.0	54839.12	5.14	1.39	4.0	na	Mundharmonika	5.0	
1.0	0.0	na	4.9	1.45	4.24	1.51	na	10.0	0.0	0.0	na	1.0	na	4.1	1.73	3.55	1.67	Grammophon	na	
1.0	0.0	181690.23	1.07	na	4.13	na	2.62	5.0	0.0	0.0	6.85	0.0	89207.21	5.96	0.2	3.87	na	Couch	2.0	
1.0	0.0	406194.28	5.57	1.16	4.09	1.63	0.16	11.0	0.0	0.0	0.43	1.0	228385.69	4.76	1.58	1.9	1.3	Martinshorn	3.0	
1.0	0.0	na	1.27	na	4.0	na	na	8.0	0.0	0.0	na	0.0	na	5.75	0.74	3.13	na	Isomatte	3.0	
1.0	0.0	57947.82	1.13	na	4.0	na	8.19	4.0	0.0	1.0	6.85	0.0	49930.91	5.79	0.59	3.73	na	Pfad	1.0	
1.0	0.0	39855.43	1.17	0.39	3.91	1.35	20.44	4.0	0.0	0.0	14.55	0.0	17626.45	5.62	0.74	4.14	1.74	Netz	1.0	
1.0	0.0	460680.64	1.07	na	3.87	na	1.32	12.0	0.0	1.0	0.43	0.0	138189.74	5.96	0.2	3.73	na	Schnittlauch	2.0	
1.0	0.0	345381.6	5.47	na	3.87	na	1.36	9.0	0.0	0.0	0.86	1.0	213672.0	5.92	0.28	4.07	na	Kopfhörer	3.0	
1.0	0.0	219561.99	1.17	0.39	3.83	1.64	0.14	8.0	0.0	0.0	0.86	0.0	149478.53	5.38	1.02	3.62	1.91	Lakritze	3.0	
1.0	0.0	172938.37	1.06	na	3.81	na	17.25	6.0	0.0	0.0	9.85	0.0	62185.19	6.0	0.0	4.31	na	Sessel	2.0	
1.0	0.0	168170.17	1.35	0.65	3.78	1.57	2.02	7.0	0.0	0.0	0.86	0.0	105232.04	5.57	0.81	3.95	1.88	Etikett	3.0	
1.0	0.0	188778.1	2.04	1.26	3.78	1.62	2.39	5.0	0.0	0.0	11.13	0.0	151522.17	5.0	1.26	4.1	1.79	Keule	2.0	
1.0	0.0	245480.9	1.17	0.39	3.78	1.62	6.0	6.0	0.0	0.0	3.42	0.0	168255.36	5.48	1.08	4.48	1.66	Tapete	3.0	
1.0	0.0	168013.54	2.09	1.41	3.74	1.42	0.24	7.0	0.0	0.0	0.86	0.0	17218.19	5.86	0.36	4.0	1.67	Ketchup	2.0	
1.0	0.0	176242.06	1.2	na	3.73	na	1.37	9.0	0.0	1.0	0.86	0.0	108715.54	5.96	0.2	4.2	na	Kopfsalat	3.0	
1.0	0.0	406834.04	5.05	na	3.7	na	0.02	7.0	0.0	0.0	1.28	1.0	206998.8	5.0	1.29	3.1	na	Piepser	2.0	
1.0	0.0	418769.48	4.0	1.98	3.68	1.36	1.69	7.0	0.0	0.0	11.56	1.0	222263.39	4.76	1.26	2.71	1.49	Schelle	2.0	
1.0	0.0	200774.11	1.0	na	3.67	na	0.38	9.0	0.0	1.0	0.43	0.0	105801.66	5.83	0.64	3.87	na	Feldsalat	3.0	
1.0	0.0	402470.96	1.28	0.57	3.67	1.5	7.61	5.0	0.0	0.0	16.7	0.0	342113.46	5.67	0.69	4.17	1.5	Haken	2.0	
1.0	0.0	199423.6	1.89	1.37	3.67	1.57	3.59	5.0	0.0	0.0	5.57	0.0	151206.87	5.67	0.69	4.33	1.71	Truhe	2.0	
1.0	0.0	74166.2	1.07	na	3.63	na	6.89	4.0	0.0	0.0	14.13	0.0	45728.75	5.67	0.66	4.13	na	Helm	1.0	
1.0	0.0	339775.72	1.74	0.81	3.61	1.34	5.49	7.0	0.0	0.0	3.85	0.0	183696.86	5.43	0.75	3.76	1.73	Gardine	3.0	
1.0	0.0	401161.46	1.48	0.73	3.61	1.44	0.13	8.0	0.0	0.0	6.42	0.0	232134.35	5.57	0.81	4.1	1.51	Sticker 	2.0	
1.0	0.0	326112.35	1.07	na	3.6	na	15.97	5.0	0.0	0.0	8.56	0.0	150229.87	6.0	0.0	5.0	na	Kerze	2.0	
1.0	0.0	252005.01	1.13	na	3.6	na	1.22	6.0	0.0	1.0	4.71	0.0	163676.62	5.96	0.2	4.2	na	Melone	3.0	
1.0	0.0	278901.1	1.13	na	3.6	na	2.24	8.0	0.0	1.0	1.71	0.0	142644.6	6.0	0.0	4.47	na	Pfirsich	2.0	
1.0	0.0	174655.71	1.07	na	3.43	na	0.65	6.0	0.0	1.0	4.71	0.0	56951.1	5.67	0.64	3.64	na	Dattel	2.0	
0.0	0.0	164736.78	1.17	0.49	2.5	1.47	6.5	7.0	0.0	0.0	3.85	0.0	31694.29	3.95	1.8	4.05	1.9	Relief 	3.0	
0.0	0.0	228428.47	4.61	1.31	2.04	1.19	26.32	5.0	0.0	1.0	29.54	1.0	171331.62	5.86	0.36	4.48	1.33	Welle	2.0	
