word	category
Grabmal	lowA_lowS
Stachel	lowA_lowS
Einhorn	lowA_lowS
Pfeiler	lowA_lowS
Libelle	lowA_lowS
Schweif	lowA_lowS
Mahnmal	lowA_lowS
Molekül	lowA_lowS
Vordach	lowA_lowS
Thymian	lowA_lowS
Schlamm	lowA_lowS
Gebüsch	lowA_lowS
Gebirge	lowA_lowS
Fenchel	lowA_lowS
Veranda	lowA_lowS
Schlund	lowA_lowS
Schleim	lowA_lowS
Pfosten	lowA_lowS
Asphalt	lowA_lowS
Bildnis	lowA_lowS
Verdeck	lowA_lowS
Marmor	lowA_lowS
Koralle	lowA_lowS
Vorhof	lowA_lowS
Flecken	lowA_lowS
Porträt	lowA_lowS
Krabbe	lowA_lowS
Falter	lowA_lowS
Sockel	lowA_lowS
Abhang	lowA_lowS
Zement	lowA_lowS
Kiesel	lowA_lowS
Kuppel	lowA_lowS
Prärie	lowA_lowS
Gefieder	lowA_lowS
Kristall	lowA_lowS
Zipfel	lowA_lowS
Gehöft	lowA_lowS
Pappel	lowA_lowS
Piranha	lowA_lowS
Pollen	lowA_lowS
Gitter	lowA_lowS
Zapfen	lowA_lowS
Sphinx	lowA_lowS
Knospe	lowA_lowS
Lavendel	lowA_lowS
Schwefel	lowA_lowS
Schilf	lowA_lowS
Korridor	lowA_lowS
Kastanie	lowA_lowS
Schuppe	lowA_lowS
Kruste	lowA_lowS
Oktopus	lowA_lowS
Staude	lowA_lowS
Router	lowA_lowS
Qualle	lowA_lowS
Krater	lowA_lowS
Natter	lowA_lowS
Giraffe	lowA_lowS
Lagune	lowA_lowS
Akazie	lowA_lowS
Emblem	lowA_lowS
Pulver	lowA_lowS
Flagge	lowA_lowS
Ziegel	lowA_lowS
Tunnel	lowA_lowS
Planet	lowA_lowS
Zisterne	lowA_lowS
Flocke	lowA_lowS
Diagramm	lowA_lowS
Aufdruck	lowA_lowS
Sensor	lowA_lowS
Schnecke	lowA_lowS
Visier	lowA_lowS
Skorpion	lowA_lowS
Reliquie	lowA_lowS
Graben	lowA_lowS
Seestern	lowA_lowS
Erdhügel	lowA_lowS
Sandbank	lowA_lowS
Kornfeld	lowA_lowS
Tentakel	lowA_lowS
Schleier	lowA_lowS
Pavillon	lowA_lowS
Wölkchen	lowA_lowS
Quartier	lowA_lowS
Statue	lowA_lowS
Rebstock	lowA_lowS
Eidechse	lowA_lowS
Knolle	lowA_lowS
Dromedar	lowA_lowS
Kajüte	lowA_lowS
Talisman	lowA_lowS
Klecks	lowA_lowS
Steinweg	lowA_lowS
Plakette	lowA_lowS
Papagei	lowA_highS
Gorilla	lowA_highS
Tornado	lowA_highS
Panther	lowA_highS
Tonband	lowA_highS
Hamster	lowA_highS
Flieger	lowA_highS
Auspuff	lowA_highS
Kolibri	lowA_highS
Elefant	lowA_highS
Schwein	lowA_highS
Telefax	lowA_highS
Truthahn	lowA_highS
Sperling	lowA_highS
Ferkel	lowA_highS
Kuckuck	lowA_highS
Kleinbus	lowA_highS
Saloon	lowA_highS
Kapelle	lowA_highS
Grille	lowA_highS
Brandung	lowA_highS
Marder	lowA_highS
Jaguar	lowA_highS
Büffel	lowA_highS
Schwan	lowA_highS
Theater	lowA_highS
Stadion	lowA_highS
Staudamm	lowA_highS
Düsenjet	lowA_highS
Gondel	lowA_highS
Kakadu	lowA_highS
Sirene	lowA_highS
Zirkus	lowA_highS
Lüftung	lowA_highS
Gebläse	lowA_highS
Flugzeug	lowA_highS
Schwalbe	lowA_highS
Turbine	lowA_highS
Specht	lowA_highS
Hummel	lowA_highS
Spatz	lowA_highS
Pavian	lowA_highS
Propeller	lowA_highS
Geläut	lowA_highS
Henne	lowA_highS
Lawine	lowA_highS
Frosch	lowA_highS
Meise	lowA_highS
Kröte	lowA_highS
Getriebe	lowA_highS
Straße	lowA_highS
Stier	lowA_highS
Taube	lowA_highS
Panda	lowA_highS
Ziege	lowA_highS
Lastwagen	lowA_highS
Tiger	lowA_highS
Drossel	lowA_highS
Flugplatz	lowA_highS
Rotor	lowA_highS
Zaunkönig	lowA_highS
Triebwerk	lowA_highS
Trafo	lowA_highS
Hyäne	lowA_highS
Motor	lowA_highS
Dohle	lowA_highS
Küken	lowA_highS
Flughafen	lowA_highS
Krähe	lowA_highS
Sägemühle	lowA_highS
Fluss	lowA_highS
Schaf	lowA_highS
Amsel	lowA_highS
Singvogel	lowA_highS
Wasserwerk	lowA_highS
Elch	lowA_highS
Helikopter	lowA_highS
Wasserfall	lowA_highS
Affe	lowA_highS
Tiergarten	lowA_highS
Vogel	lowA_highS
Kompressor	lowA_highS
Feuersturm	lowA_highS
Schimpanse	lowA_highS
Esel	lowA_highS
Rabe	lowA_highS
Ente	lowA_highS
Eule	lowA_highS
Nachtlokal	lowA_highS
Transistor	lowA_highS
Hahn	lowA_highS
Aula	lowA_highS
Kondensator	lowA_highS
Löwe	lowA_highS
Park	lowA_highS
Wald	lowA_highS
Zahnrad	highA_lowS
Kommode	highA_lowS
Schemel	highA_lowS
Vitrine	highA_lowS
Strumpf	highA_lowS
Joghurt	highA_lowS
Zwiebel	highA_lowS
Bargeld	highA_lowS
Paprika	highA_lowS
Frisbee	highA_lowS
Schlinge	highA_lowS
Krümel	highA_lowS
Saatgut	highA_lowS
Korsett	highA_lowS
Kandare	highA_lowS
Schminke	highA_lowS
Barren	highA_lowS
Sichel	highA_lowS
Diskette	highA_lowS
Skalpell	highA_lowS
Schraube	highA_lowS
Kordel	highA_lowS
Sattel	highA_lowS
Futter	highA_lowS
Tablette	highA_lowS
Tupfer	highA_lowS
Schleppe	highA_lowS
Stativ	highA_lowS
Banane	highA_lowS
Ranzen	highA_lowS
Ausweis	highA_lowS
Bikini	highA_lowS
Krücke	highA_lowS
Schlaufe	highA_lowS
Lineal	highA_lowS
Prothese	highA_lowS
Webstuhl	highA_lowS
Butter	highA_lowS
Bumerang	highA_lowS
Peperoni	highA_lowS
Wickel	highA_lowS
Skizze	highA_lowS
Umschlag	highA_lowS
Einrad	highA_lowS
Paddel	highA_lowS
Lasche	highA_lowS
Krokette	highA_lowS
Knauf	highA_lowS
Textilie	highA_lowS
Himbeere	highA_lowS
Kartoffel	highA_lowS
Karabiner	highA_lowS
Rollstuhl	highA_lowS
Toast	highA_lowS
Anker	highA_lowS
Tabak	highA_lowS
Spaghetti	highA_lowS
Zügel	highA_lowS
Regal	highA_lowS
Scharnier	highA_lowS
Filet	highA_lowS
Spind	highA_lowS
Degen	highA_lowS
Matte	highA_lowS
Schlitten	highA_lowS
Waage	highA_lowS
Hacke	highA_lowS
Mappe	highA_lowS
Zeichnung	highA_lowS
Haken	highA_lowS
Tandem	highA_lowS
Knopf	highA_lowS
Mikroskop	highA_lowS
Scheck	highA_lowS
Magnet	highA_lowS
Mango	highA_lowS
Paket	highA_lowS
Jeans	highA_lowS
Wiege	highA_lowS
Orange	highA_lowS
Flyer	highA_lowS
Olive	highA_lowS
Schrubber	highA_lowS
Zahnspange	highA_lowS
Folie	highA_lowS
Gurt	highA_lowS
Kajak	highA_lowS
Angel	highA_lowS
Krone	highA_lowS
Leiter	highA_lowS
Atlas	highA_lowS
Aubergine	highA_lowS
Zwetschge	highA_lowS
Maultasche	highA_lowS
Widerhaken	highA_lowS
Kamm	highA_lowS
Dynamit	highA_highS
Posaune	highA_highS
Drucker	highA_highS
Roller	highA_highS
Seilzug	highA_highS
Trommel	highA_highS
Alphorn	highA_highS
Stapler	highA_highS
Wischer	highA_highS
Granate	highA_highS
Gitarre	highA_highS
Blinker	highA_highS
Klöppel	highA_highS
Telefon	highA_highS
Hammer	highA_highS
Klavier	highA_highS
Saxophon	highA_highS
Pistole	highA_highS
Triangel	highA_highS
Schalter	highA_highS
Peitsche	highA_highS
Flinte	highA_highS
Schaukel	highA_highS
Trompete	highA_highS
Knarre	highA_highS
Rekorder	highA_highS
Geschütz	highA_highS
Keyboard	highA_highS
Zapfhahn	highA_highS
Böller	highA_highS
Dusche	highA_highS
Säugling	highA_highS
Rakete	highA_highS
Moped	highA_highS
Motorrad	highA_highS
Kanone	highA_highS
Tastatur	highA_highS
Gewehr	highA_highS
Bohrer	highA_highS
Mörser	highA_highS
Revolver	highA_highS
Lasso	highA_highS
Rassel	highA_highS
Computer	highA_highS
Tamburin	highA_highS
Fagott	highA_highS
Pfeife	highA_highS
Blech	highA_highS
Harfe	highA_highS
Flöte	highA_highS
Wippe	highA_highS
Karussell	highA_highS
Walze	highA_highS
Geige	highA_highS
Akkordeon	highA_highS
Mixer	highA_highS
Bombe	highA_highS
Cello	highA_highS
Hobel	highA_highS
Saite	highA_highS
Xylophon	highA_highS
Hebebühne	highA_highS
Klaviatur	highA_highS
Meißel	highA_highS
Dudelsack	highA_highS
Schleifer	highA_highS
Mikrofon	highA_highS
Schleuder	highA_highS
Festwagen	highA_highS
Blasebalg	highA_highS
Schläger	highA_highS
Banjo	highA_highS
Mäher	highA_highS
Taktstock	highA_highS
Kran	highA_highS
Kühltruhe	highA_highS
Besen	highA_highS
Lagerfeuer	highA_highS
Säge	highA_highS
Mofa	highA_highS
Pferd	highA_highS
Dampfwalze	highA_highS
Tuba	highA_highS
Schlagzeug	highA_highS
Kontrabass	highA_highS
Beil	highA_highS
Rohrstock	highA_highS
Blockflöte	highA_highS
Motorsäge	highA_highS
Trampolin	highA_highS
Kettensäge	highA_highS
Hupe	highA_highS
Schlagwerk	highA_highS
Klarinette	highA_highS
Mundstück	highA_highS
Brecheisen	highA_highS
